type,pair,dataset,subset_idx,D_f,hq_mean,corr,wavelet_corr,weight,tci_global,mci_global,fold_idx,tmci_value,tmci_global,tmci_std_cv
MFDFA_subset,,LIGO-L1_1370202112,20,1.1638411225222693,1.111801419006312,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,21,1.2142296574856,1.147818868750968,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,22,1.2522320819965127,1.1694014845105738,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,23,1.176917052980194,1.1212218329125236,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,24,1.2219162469804914,1.1559211493782597,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,25,1.2242834185834024,1.155223862817407,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,26,1.2203693605246941,1.151211537713925,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,27,1.1689142444460117,1.1178222149565438,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,28,1.237482582763167,1.1591886280703418,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,29,1.1934690848522893,1.131346671038975,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,30,1.1513547502972579,1.101064143168707,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,31,1.201774991305491,1.134602025746777,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,32,1.2344090268524495,1.162236618855142,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,33,1.123759885454736,1.0839713754161497,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,34,1.188640375833665,1.1330304251139685,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,35,1.2038389934761435,1.1429689866802195,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,36,1.1763059259172695,1.1258022871451028,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,37,1.2067607551330803,1.1413539206971262,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,38,1.1794760508314461,1.121477683315055,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,39,1.197040807579991,1.1356418136101136,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,40,1.269610854236892,1.1797433754234365,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,41,1.198967589443408,1.1320411178714225,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,42,1.1166217740974866,1.0802739015483451,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,43,1.2329235234005236,1.157448557378044,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,44,1.1211889934458366,1.0850206413675334,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,45,1.2100039911297042,1.1423781959840156,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,46,1.2283052291663636,1.1571338103638362,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,47,1.2296159039000936,1.161824643545275,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,48,1.2191322251684311,1.1495514833096248,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,49,1.2476421802825823,1.1722751136178153,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,50,1.2214252022747736,1.1514776435631913,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,51,1.1869367981281318,1.1239930976798678,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,52,1.239320358201381,1.162245696815996,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,53,1.2131276308792491,1.142552171508851,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,54,1.1743038416677403,1.1192150505359089,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,55,1.2468420150203017,1.1684377787526607,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,56,1.1307032025664614,1.0864434749932466,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,57,1.199167607880332,1.133752824698956,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,58,1.1574762163010073,1.107022137812491,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,59,1.2389715174378721,1.1620433031162019,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,60,1.2264209918545774,1.161407417495187,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,61,1.233993308167233,1.166289049059367,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,62,1.2085950949820858,1.1434294605237452,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,63,1.189805638937437,1.1285920545200185,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,64,1.247633042871241,1.1677338622220208,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,65,1.2672581986757432,1.1812470756365157,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,66,1.2578164473778621,1.1760195788145653,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,67,1.263695681324892,1.175180779455485,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,68,1.2111611413647672,1.1448986335168527,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,69,1.2544873545024724,1.16920488782664,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,70,1.2480932005116485,1.1689294852115744,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,71,1.2272126318851921,1.1586329947975105,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,72,1.1895464991284281,1.1287321959720944,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,73,1.2675394372003665,1.181373024320758,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,74,1.2827067584892864,1.1889109343864672,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,75,1.2437345013015861,1.1649897589824814,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,76,1.246257731019826,1.1688410257401427,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,77,1.1981096584499609,1.1344458407275952,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,78,1.2323119825062907,1.1551136758450926,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,79,1.2477343863047872,1.1673613531030629,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,80,1.1954345421165902,1.1285838784472537,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,81,1.1697850360501325,1.1179180202591217,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,82,1.267540578164153,1.1805834001223767,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,83,1.1671464570274068,1.1101383537445746,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,84,1.2635845851669543,1.176259678639999,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,85,1.246911750989169,1.165869133657874,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,86,1.2479749614931739,1.1681006465048798,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,87,1.171817596648392,1.1131781963684375,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,88,1.140377746043459,1.0957856778057942,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,89,1.2538866117155552,1.1719742359959517,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,90,1.2136293147736175,1.1461121667209102,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,91,1.20156213830163,1.1413525950765158,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,92,1.2102234467536157,1.1428194071596847,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,93,1.2156488122075046,1.1519907409499104,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,94,1.216451248061895,1.1509007255475237,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,95,1.1932802485326426,1.1305225495780404,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,96,1.1356251815565797,1.0980865314397845,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,97,1.246480420539156,1.1675182902356718,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,98,1.151511469764083,1.105749883559028,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,99,1.2440690306002915,1.1644026340844242,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,0,1.0860190936081366,0.7918090691514384,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,1,1.1446294314523822,0.8431131251281776,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,2,1.1863185116026116,0.879137430156796,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,3,1.2666551431878843,0.9486157900932568,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,4,1.212027649101545,0.9008468271200938,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,5,1.2556668396550095,0.9300873534535232,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,6,1.1223738016981983,0.8203344009113048,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,7,0.9951076661981483,0.727281831734286,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,8,1.1478851473401286,0.8430507581765265,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,9,1.0996559888558524,0.8103313041514708,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,10,1.2810718196054864,0.9417347824303784,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,11,1.2192393776593426,0.9060799765715168,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,12,1.0455916570555464,0.7724378874570359,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,13,1.0854357354842192,0.79980672695787,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,14,1.1216233748280426,0.8227785923993443,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,15,1.1898514967762983,0.8759693675292707,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,16,1.273909260850656,0.9507739629479303,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,17,1.1412877080538442,0.8241272278806328,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,18,1.3854763544123359,1.0486091953147998,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,19,1.0784785623890307,0.7878199511063219,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,20,1.1892406169385938,0.881866269270515,,,,,,,,,
